,protocol_type,protocol_name,Algorithm,Simulation_Number,Task Id,Mission Id,Task Importance,Max Players,Initial Workload,Arrival Delay,Abandonment Counter,Total Abandonment Counter,Total Time In System,Total Time Since First Arrival,Time Taken (In System) Relative To Optimal,Time Taken (First Arrival) Relative To Optimal,Cap,Is Done,Abandonment Penalty,Utility,map_size,max_nclo,converge_threshold
29,No Loss,e^-(0d),FMC_TA,0,7,19,1140.4170016401895,1,5708.6014610808315,98279.55895261902,0,0,103988.16041369985,5708.601461080834,0.05489664821812499,0.9999999999999996,1140.4170016401902,True,0,0.03631095674842639,9000X9000,5000,1e-05
30,No Loss,e^-(0d),FMC_TA,1,3,5,2101.620489172118,1,10791.15687695293,7932.862059455708,0,0,18724.018936408636,10791.15687695293,0.5763269580960341,1.0,2101.620489172118,True,0,911.1008106041244,9000X9000,5000,1e-05
31,No Loss,e^-(0d),FMC_TA,1,3,7,2101.620489172118,1,15778.994695306748,4097.529962850082,0,0,19876.524658156828,15778.994695306747,0.7938507846154808,1.0000000000000002,2101.6204891721177,True,0,1364.7767182087039,9000X9000,5000,1e-05
32,No Loss,e^-(0d),FMC_TA,1,3,6,2101.620489172118,1,18351.299632275168,5100.327948795166,0,0,23451.627581070334,18351.299632275168,0.782517101162222,1.0,2101.620489172118,True,0,1227.9370005843093,9000X9000,5000,1e-05
33,No Loss,e^-(0d),FMC_TA,1,5,13,2509.154802769801,2,19320.032186489792,4312.6515975647735,0,0,14303.272514236274,9990.620916671502,0.6753710441879737,0.9669084808457781,2466.2180895949746,True,0,1565.6524581275887,9000X9000,5000,1e-05
34,No Loss,e^-(0d),FMC_TA,1,5,11,2509.154802769801,2,21397.678416329916,4899.747563075259,0,0,26297.425979405176,21397.678416329916,0.40683978791474695,0.5,1254.5774013849007,True,0,748.6818545913961,9000X9000,5000,1e-05
35,No Loss,e^-(0d),FMC_TA,1,5,12,2509.154802769801,1,24529.345074545396,5725.896348001872,0,0,30255.241422547268,24529.345074545396,0.8107469622194211,1.0,2509.154802769801,True,0,1372.539361451882,9000X9000,5000,1e-05
36,No Loss,e^-(0d),FMC_TA,1,7,19,9122.04252248064,7,47966.846385039695,6335.375228584109,0,0,35602.86810228108,29267.492873696967,0.19246782609615679,0.2341302911050703,2319.185815164053,True,0,1189.7197573624544,9000X9000,5000,1e-05
37,No Loss,e^-(0d),FMC_TA,1,7,18,9122.04252248064,4,46423.63957695107,6891.005051330601,0,0,37440.12071025455,30549.11565892395,0.30998591014315297,0.37990984825275853,4290.578556078288,True,0,2075.872899734481,9000X9000,5000,1e-05
38,No Loss,e^-(0d),FMC_TA,1,7,17,9122.04252248064,8,82708.56167965631,8088.312796893493,0,0,51584.521889023206,43496.20909212971,0.2004200064546301,0.23768899464454063,2762.0496938745637,True,0,1177.9601306788834,9000X9000,5000,1e-05
