,protocol_type,protocol_name,Algorithm,Simulation_Number,Task Id,Mission Id,Task Importance,Max Players,Initial Workload,Arrival Delay,Abandonment Counter,Total Abandonment Counter,Total Time In System,Total Time Since First Arrival,Time Taken (In System) Relative To Optimal,Time Taken (First Arrival) Relative To Optimal,Cap,Is Done,Abandonment Penalty,Utility,map_size,max_nclo,converge_threshold
17,Delay,Pois(1000^d)+TS,FMC_ATA,0,11,31,81970.46864039541,6,81970.46864039541,2345.0793409778694,0,0,49437.49374380374,47092.41440282587,0.27634379777011925,0.29010499772930387,43589.5363592773,True,0,34046.87873098516,9000X9000,100000,1e-05
18,Delay,Pois(1000^d)+TS,FMC_ATA,0,6,15,100974.62559682401,8,100974.62559682401,261.26621183534286,0,0,25275.0187001034,25013.752488268055,0.4993795790762903,0.5045955502087457,63378.36844195564,True,0,61657.53649764787,9000X9000,100000,1e-05
19,Delay,Pois(1000^d)+TS,FMC_ATA,0,6,16,100974.62559682401,9,100974.62559682401,4476.910861105347,0,0,42969.920523592526,38493.00966248718,0.26109898988366925,0.2914659815500285,31252.881092232084,True,0,19500.145557011325,9000X9000,100000,1e-05
20,Delay,Pois(1000^d)+TS,FMC_ATA,0,6,14,100974.62559682401,10,100974.62559682401,6907.575575297704,0,0,53157.259611729794,46249.68403643209,0.1899545355316675,0.21832500632281865,49222.45397438835,True,0,23773.32553795199,9000X9000,100000,1e-05
21,Delay,Pois(1000^d)+TS,FMC_ATA,0,8,21,57214.27154527134,3,57214.27154527134,13508.007369758017,0,0,36638.19141055016,23130.18404079214,0.5205339869186901,0.8245253827115956,49096.75116053464,True,0,11829.332390702704,9000X9000,100000,1e-05
22,Delay,Pois(1000^d)+TS,FMC_ATA,0,8,22,57214.27154527134,4,57214.27154527134,4751.447118577392,0,0,58359.57227403556,53608.12515545817,0.24509377517630568,0.2668171633467674,16106.6410812244,True,0,9763.166242648425,9000X9000,100000,1e-05
23,Delay,Pois(1000^d)+TS,FMC_ATA,0,8,20,57214.27154527134,1,57214.27154527134,1313.7429377040191,0,0,58528.014482975355,57214.27154527134,0.9775536048965721,1.0,57214.27154527134,True,0,49818.516711917175,9000X9000,100000,1e-05
24,Delay,Pois(1000^d)+TS,FMC_ATA,0,3,5,61127.47213686085,3,61127.47213686085,412.1204930981908,0,0,21422.871983546956,21010.751490448765,0.951124763349619,0.9697808312512234,59985.66472107656,True,0,57436.75243159697,9000X9000,100000,1e-05
25,Delay,Pois(1000^d)+TS,FMC_ATA,0,3,6,61127.47213686085,5,61127.47213686085,2489.0595159420063,0,0,23407.972423663487,20918.912907721482,0.5222790853518448,0.5844230281612559,40809.161566932635,True,0,31395.29403888884,9000X9000,100000,1e-05
26,Delay,Pois(1000^d)+TS,FMC_ATA,0,3,7,61127.47213686085,3,61127.47213686085,38003.36415775404,0,0,66029.98700630045,28026.62284854641,0.3085844018669285,0.7270167424641056,51035.963491712195,True,0,930.9744053252981,9000X9000,100000,1e-05
